what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1479743699813
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1479743699814
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1479743699816
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1479743699817
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1479743699818
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1479743699821
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1479743699824
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1479743699826
os,sysinfo,,,"win32",1479743699831
arch,sysinfo,,,"x86",1479743699831
ws,sysinfo,,,"win32",1479743699831
locale,sysinfo,,,"en_IN",1479743699831
processors,sysinfo,,,"4",1479743699831
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1479743699832
java.runtime.version,sysinfo,,,"1.8.0_102-b14",1479743699832
java.specification.name,sysinfo,,,"Java Platform API Specification",1479743699832
java.specification.vendor,sysinfo,,,"Oracle Corporation",1479743699832
java.specification.version,sysinfo,,,"1.8",1479743699832
java.vendor,sysinfo,,,"Oracle Corporation",1479743699832
java.version,sysinfo,,,"1.8.0_102",1479743699832
java.vm.info,sysinfo,,,"mixed mode",1479743699832
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1479743699832
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1479743699832
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1479743699832
java.vm.specification.version,sysinfo,,,"1.8",1479743699832
java.vm.vendor,sysinfo,,,"Oracle Corporation",1479743699832
java.vm.version,sysinfo,,,"25.102-b14",1479743699832
started,bundle,org.eclipse.jst.servlet.ui,1.1.502.v201202011054,"org.eclipse.jst.servlet.ui",1479743699877
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1479743708576
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.101.v201201031437,"org.eclipse.jst.ws.jaxws.dom.integration",1479743708670
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1479743708680
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1479743712443
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1479743712448
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1479743712510
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1479743712522
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1479743712944
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1479743720644
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1479743733413
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1479743733641
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1479743733765
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1479743739946
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1479743749708
